"Bileşen Türü","Bileşen Adı","Birleşik Skor","Örüntü Kodu","Örüntü Açıklaması","Soru 1: Tespit doğru mu?","Şıklar","Cevap 1","Soru 2: Farkında mıydınız? (Cevap 1=a ise)","Şıklar","Cevap 2","Soru 3: Başka aykırılık var mı?","Şıklar","Cevap 3","Açıklama/Yorum"
"Uygulama","StateManager","0.383","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","SyncSlave2","0.183","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","SyncSlave2","0.183","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","DataProcessor2","0.183","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","DataProcessor2","0.183","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","DebugMonitor","0.183","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","DebugMonitor","0.183","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","ConfigManager","0.183","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","ConfigManager","0.183","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","ConfigClient","0.183","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","ConfigClient","0.183","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","core.sync.state","0.670","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","core.sync.state","0.670","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","config.update.notify","0.490","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","config.update.notify","0.490","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","core.sync.heartbeat","0.400","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","core.sync.heartbeat","0.400","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","aux.log.write","0.400","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","aux.log.write","0.400","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","aux.debug.trace","0.400","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","aux.debug.trace","0.400","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","aux.log.read","0.250","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","aux.log.flush","0.250","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","aux.debug.profile","0.250","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","config.update.request","0.250","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Çalışma Düğümü","PrimaryNode","0.090","-","Örüntü tetiklenmedi - yalnızca tek-boyutlu aykırılık katkısı (UNI) mevcut.","Bu bileşen için metrik değerleri görece uç konumda mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Kütüphane","libsync","2.180","WUL","Bu kütüphane, sistem genelinde çok sayıda uygulama tarafından kullanılıyor. Kütüphane Yaygınlığı (LC) görece yüksek.","Bu kütüphane çok sayıda uygulama tarafından kullanılıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Kütüphane","libsync","2.180","CL","Bu kütüphanenin kullanımı belirli çalışma düğümlerinde yoğunlaşmış. Kütüphane Yoğunlaşması (LCon) görece yüksek.","Bu kütüphanenin kullanımı belirli çalışma düğümlerinde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
