"Bileşen Türü","Bileşen Adı","Birleşik Skor","Örüntü Kodu","Örüntü Açıklaması","Soru 1: Tespit doğru mu?","Şıklar","Cevap 1","Soru 2: Farkında mıydınız? (Cevap 1=a ise)","Şıklar","Cevap 2","Soru 3: Başka aykırılık var mı?","Şıklar","Cevap 3","Açıklama/Yorum"
"Uygulama","FireControl","0.577","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","FireControl","0.577","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","FireControl","0.577","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","TrackDisplay","0.281","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","TrackDisplay","0.281","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","SystemLogger","0.200","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","CommsHandler","0.067","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","CommsDisplay","0.067","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","TrackReplay","0.067","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","ErrorHandler","0.067","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","nav.track.update","1.027","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","nav.track.update","1.027","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","log.system.event","0.423","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","log.system.error","0.423","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","nav.track.create","0.423","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","sensor.radar.contact","0.423","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","sensor.fusion.raw","0.090","-","Örüntü tetiklenmedi - yalnızca tek-boyutlu aykırılık katkısı (UNI) mevcut.","Bu bileşen için metrik değerleri görece uç konumda mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","weapons.control.fire","0.090","-","Örüntü tetiklenmedi - yalnızca tek-boyutlu aykırılık katkısı (UNI) mevcut.","Bu bileşen için metrik değerleri görece uç konumda mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Çalışma Düğümü","MainServer","0.090","-","Örüntü tetiklenmedi - yalnızca tek-boyutlu aykırılık katkısı (UNI) mevcut.","Bu bileşen için metrik değerleri görece uç konumda mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Kütüphane","libcommon","1.090","WUL","Bu kütüphane, sistem genelinde çok sayıda uygulama tarafından kullanılıyor. Kütüphane Yaygınlığı (LC) görece yüksek.","Bu kütüphane çok sayıda uygulama tarafından kullanılıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
